"Preventable-injury-related deaths by month, leading cause, and year, United States, 1999-2021","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","Month","All causes","Poisoning","Motor vehicle","Falls","Choking (a)","Drowning (b)","Fire, flames, or smoke","Mechanical suffocation","Natural heat or cold","Struck by or against","All other causes","","","","","","","","","","","","",""
"2007","September","10,242","2,419","3,790","1,920","328","292","174","134","48","62","1,075","","","","","","","","","","","","",""
"2007","October","10,288","2,374","3,769","2,011","386","202","213","149","24","88","1,072","","","","","","","","","","","","",""
"2007","November","9,926","2,399","3,606","1,936","368","116","282","123","71","75","950","","","","","","","","","","","","",""
"2007","December","10,581","2,688","3,481","2,104","431","139","391","136","157","58","996","","","","","","","","","","","","",""
"2006","Total","121,599","27,531","45,316","20,823","4,332","3,579","3,109","1,580","1,141","843","13,345","","","","","","","","","","","","",""
"2006","January","9,552","2,123","3,396","1,794","359","157","323","122","90","67","1,121","","","","","","","","","","","","",""
"2006","February","8,953","2,094","3,164","1,657","351","114","330","106","106","68","963","","","","","","","","","","","","",""
"2006","March","10,131","2,315","3,567","1,825","432","187","398","141","78","69","1,119","","","","","","","","","","","","",""
"2006","April","9,853","2,272","3,745","1,661","310","283","262","127","26","83","1,084","","","","","","","","","","","","",""
"2006","May","10,364","2,365","3,952","1,675","374","395","213","141","35","75","1,139","","","","","","","","","","","","",""
"2006","June","10,418","2,389","3,916","1,611","341","533","193","138","63","62","1,172","","","","","","","","","","","","",""
"2006","July","11,344","2,487","4,092","1,716","348","729","186","143","297","93","1,253","","","","","","","","","","","","",""
"2006","August","10,773","2,377","4,088","1,668","346","439","203","153","216","54","1,229","","","","","","","","","","","","",""
"2006","September","10,006","2,275","3,951","1,722","359","268","170","122","16","59","1,064","","","","","","","","","","","","",""
"2006","October","10,208","2,280","4,048","1,795","346","169","205","124","31","76","1,134","","","","","","","","","","","","",""
"2006","November","9,860","2,254","3,704","1,789","387","157","286","134","61","66","1,022","","","","","","","","","","","","",""
"2006","December","10,137","2,300","3,693","1,910","379","148","340","129","122","71","1,045","","","","","","","","","","","","",""
"2005","Total","117,809","23,618","45,343","19,656","4,386","3,582","3,197","1,514","1,166","854","14,493","","","","","","","","","","","","",""
"2005","January","9,461","1,994","3,305","1,704","448","154","408","116","180","65","1,087","","","","","","","","","","","","",""
"2005","February","8,530","1,884","3,042","1,562","379","132","292","105","94","57","983","","","","","","","","","","","","",""
"2005","March","9,376","2,029","3,334","1,707","424","187","338","120","68","68","1,101","","","","","","","","","","","","",""
"2005","April","9,459","1,960","3,686","1,536","372","245","295","112","31","64","1,158","","","","","","","","","","","","",""
"2005","May","9,865","1,965","3,874","1,602","354","347","227","140","36","95","1,225","","","","","","","","","","","","",""
"2005","June","9,788","1,885","3,865","1,525","360","574","182","115","77","64","1,141","","","","","","","","","","","","",""
"2005","July","10,952","2,008","4,391","1,654","332","701","148","162","223","75","1,258","","","","","","","","","","","","",""
"2005","August","10,840","1,899","4,039","1,648","329","483","173","142","108","84","1,935","","","","","","","","","","","","",""
"2005","September","9,677","1,922","3,920","1,566","357","301","169","133","47","74","1,188","","","","","","","","","","","","",""
"2005","October","10,043","1,999","4,209","1,713","324","193","240","120","35","75","1,135","","","","","","","","","","","","",""
