DATE,IPN31152N
2017-06-01,115.8572
2017-07-01,109.7824
2017-08-01,107.7183
2017-09-01,93.2074
2017-10-01,88.1872
2017-11-01,76.2635
2017-12-01,75.1293
2018-01-01,86.5212
2018-02-01,105.0885
2018-03-01,110.4979
2018-04-01,119.2231
2018-05-01,113.3610
2018-06-01,130.9473
2018-07-01,122.0366
2018-08-01,117.4042
2018-09-01,107.3655
2018-10-01,100.3917
2018-11-01,84.4493
2018-12-01,76.0528
2019-01-01,87.3217
2019-02-01,103.6634
2019-03-01,116.2908
2019-04-01,113.2319
2019-05-01,114.8520
2019-06-01,120.2485
2019-07-01,106.6168
2019-08-01,107.7213
2019-09-01,100.9537
2019-10-01,92.5919
2019-11-01,79.9770
2019-12-01,76.3053
2020-01-01,84.8876
2020-02-01,100.7937
2020-03-01,110.3812
2020-04-01,104.0611
2020-05-01,115.3020
2020-06-01,125.2004
2020-07-01,120.2127
2020-08-01,124.2010
2020-09-01,116.3215
2020-10-01,103.5837
2020-11-01,95.8137
2020-12-01,85.8814
2021-01-01,99.3509
2021-02-01,110.6275
2021-03-01,117.5007
2021-04-01,118.9769
2021-05-01,113.6948
2021-06-01,115.5991
2021-07-01,111.0626
2021-08-01,109.6379
2021-09-01,96.3444
2021-10-01,96.0669
2021-11-01,85.6469
2021-12-01,82.0899
2022-01-01,85.2764
2022-02-01,100.1325
2022-03-01,108.6138
2022-04-01,111.9315
2022-05-01,108.8993
2022-06-01,116.4000
2022-07-01,109.1060
2022-08-01,109.8372
2022-09-01,101.9651
2022-10-01,96.0011
2022-11-01,87.1078
2022-12-01,80.8859
